GCM,RCM,Edge_Treatment,Landscape_Treatment,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,region
CSIRO-MK3.0,R1,e2,l15,200.170437,0.060116241,0.053618351,342.0436969,5.476464259,2.415941189,NSW_BHILL
CSIRO-MK3.0,R1,e3,l0,256.1086232,0.059135681,0.052792654,384.7470115,5.397942001,1.860703031,NSW_BHILL
CSIRO-MK3.0,R1,e3,l1,246.739246,0.059891626,0.053446356,383.0786055,5.461872694,1.927975574,NSW_BHILL
CSIRO-MK3.0,R1,e3,l2,241.6229283,0.059182522,0.052828225,363.832518,5.400933391,1.935037348,NSW_BHILL
CSIRO-MK3.0,R1,e3,l3,236.4974835,0.059978727,0.053513766,367.4765872,5.467653207,1.899653136,NSW_BHILL
CSIRO-MK3.0,R1,e3,l5,229.5172045,0.060007219,0.053535314,363.4404963,5.469457483,2.246655379,NSW_BHILL
CSIRO-MK3.0,R1,e3,l10,214.4910209,0.060115174,0.053617817,357.8160172,5.47644315,2.325386883,NSW_BHILL
CSIRO-MK3.0,R1,e3,l15,197.9663909,0.061110974,0.054512817,341.6990565,5.567753849,2.414799644,NSW_BHILL
CSIRO-MK3.0,R1,e5,l0,255.9320187,0.060613957,0.054128885,389.6346272,5.53487773,2.239692546,NSW_BHILL
CSIRO-MK3.0,R1,e5,l1,246.1180211,0.060792926,0.054268456,387.3009344,5.54694922,2.299619012,NSW_BHILL
CSIRO-MK3.0,R1,e5,l2,241.0923466,0.060706602,0.054200331,369.4219019,5.540982944,2.291488624,NSW_BHILL
CSIRO-MK3.0,R1,e5,l3,234.7274497,0.060828416,0.054295694,372.0810293,5.549264726,2.279314687,NSW_BHILL
CSIRO-MK3.0,R1,e5,l5,228.3521148,0.060870662,0.054328084,368.0604146,5.552017388,2.679503004,NSW_BHILL
CSIRO-MK3.0,R1,e5,l10,213.2739558,0.061020714,0.054443933,362.9108596,5.561930733,2.619533232,NSW_BHILL
CSIRO-MK3.0,R1,e5,l15,196.3332464,0.061336042,0.054700608,345.4215803,5.585187504,2.741394101,NSW_BHILL
