region,Edge_Treatment,Landscape_Treatment,X,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,L_Burnt_Actual,E_Burnt_Actual,Scenario,GCM,RCM,GCM_RCM,Fire_area_rel,House_loss_rel,Life_loss_rel,Road_loss_rel,Power_loss_rel,TFI_burnt_rel
ACT,E00,L03,,540.6375977,1.366843387,0.739792043,3795.327989,229.0904696,20.13680941,,,Future,CSIRO-MK3.0,R3,CSIRO-MK3.0_R3,0.679686172,0.896268806,0.863379241,0.591720507,0.599455787,2.282420121
ACT,E00,L03,,539.9196203,1.366295693,0.73908802,3793.603849,229.1568729,20.10835817,,,Future,ECHAM5,R1,ECHAM5_R1,0.678783535,0.895909671,0.862557606,0.5914517,0.599629543,2.279195296
ACT,E00,L03,,545.1095173,1.375393195,0.74279915,3871.367818,233.0812351,20.22718995,,,Future,ECHAM5,R2,ECHAM5_R2,0.685308241,0.9018751,0.866888705,0.603575694,0.609898332,2.292664363
ACT,E00,L03,,558.919329,1.401671397,0.754789781,3951.36668,238.2785016,20.66824298,,,Future,ECHAM5,R3,ECHAM5_R3,0.702669849,0.919106286,0.880882451,0.616048126,0.6234979,2.342655814
ACT,E00,L03,,502.0335409,1.290735174,0.705916169,3533.558017,212.6960158,18.94636007,,,Future,MIROC3.2,R1,MIROC3.2_R1,0.631153396,0.846363002,0.823844176,0.550908577,0.556556795,2.147487845
ACT,E00,L03,,504.3530289,1.296392455,0.708339409,3546.217793,213.6336572,19.01948179,,,Future,MIROC3.2,R2,MIROC3.2_R2,0.634069441,0.850072604,0.826672234,0.552882332,0.5590103,2.155775875
ACT,E00,L03,,508.3303427,1.302420064,0.711339415,3576.059336,215.2350126,19.14254583,,,Future,MIROC3.2,R3,MIROC3.2_R3,0.639069695,0.854025038,0.830173411,0.557534856,0.56320053,2.169724651
ACT,E00,L05,,445.4573549,1.106474331,0.611070083,2864.226957,199.6024373,22.5374323,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,0.560026172,0.725539178,0.713153418,0.446554772,0.522295128,2.554520326
ACT,E00,L05,,454.4726544,1.124918521,0.617901899,2926.556817,204.4816991,22.9463458,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,0.57136015,0.737633432,0.721126535,0.456272472,0.535062581,2.6008689
ACT,E00,L05,,460.6867538,1.134847136,0.621807541,2968.073407,207.3835474,23.21836251,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,0.579172476,0.74414384,0.72568464,0.462745224,0.542655781,2.631700816
ACT,E00,L05,,457.3103559,1.124119534,0.61810142,2936.730667,204.7633552,23.06297051,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,0.57492769,0.737109519,0.721359387,0.457858652,0.535799584,2.614087806
ACT,E00,L05,,463.70418,1.135859019,0.622484047,2984.101024,208.1661733,23.3418769,,,Future,CSIRO-MK3.0,R2,CSIRO-MK3.0_R2,0.582965965,0.744807354,0.726474161,0.465244051,0.54470366,2.645700637
