"Landscape_Treatment","Edge_Treatment","total","houseloss","carbon","powerloss","environmental","lifeloss","edge","landscape","region"
"l0","e10",548542.751715709,0,14216.7254552893,0,88831.8275160426,0,445494.198744377,0,"NSW_BHILL"
"l1","e10",1035465.89634753,0,13691.617092865,0,85686.9555018057,0,445494.198744377,490593.12500848,"NSW_BHILL"
"l2","e10",1246636.84751791,0,13256.5991184463,0,84013.6285880379,0,445494.198744377,703872.421067048,"NSW_BHILL"
"l3","e10",1394811.33988208,0,12894.3458002952,0,82166.6587408455,0,445494.198744377,854256.136596559,"NSW_BHILL"
"l5","e10",1784139.38218155,0,12377.4473652756,0,80067.6423554219,0,445494.198744377,1246200.09371648,"NSW_BHILL"
"l10","e10",1824929.29730468,0,11535.8582005975,0,75479.2735594312,0,445494.198744377,1292419.96680027,"NSW_BHILL"
"l15","e10",1971710.05803061,0,10661.2414658254,0,69939.1763892297,0,445494.198744377,1445615.44143118,"NSW_BHILL"
"l0","e15",589255.047830832,0,13790.667863142,0,86123.3589503426,0,489341.021017347,0,"NSW_BHILL"
"l1","e15",1076102.83514385,0,13224.5736778411,0,82944.1154401809,0,489341.021017347,490593.12500848,"NSW_BHILL"
"l2","e15",1287317.13544227,0,12813.3574690202,0,81290.3358888522,0,489341.021017347,703872.421067048,"NSW_BHILL"
"l3","e15",1435424.92292618,0,12498.4631253694,0,79329.302186908,0,489341.021017347,854256.136596559,"NSW_BHILL"
"l5","e15",1825017.67627065,0,11974.4045854443,0,77502.156951381,0,489341.021017347,1246200.09371648,"NSW_BHILL"
"l10","e15",1865865.56068055,0,11162.3332121741,0,72942.23965076,0,489341.021017347,1292419.96680027,"NSW_BHILL"
"l15","e15",2013320.14540833,0,10364.778061973,0,67998.9048978296,0,489341.021017347,1445615.44143118,"NSW_BHILL"
"l0","e0",425353.212118911,0,54921.3686242532,0,370431.843494657,0,0,0,"NSW_NAN"
"l1","e0",1878378.97649314,0,53276.0331132268,0,357028.991326441,0,0,1468073.95205347,"NSW_NAN"
"l2","e0",2442519.95790219,0,51954.1294405194,0,349776.299145056,0,0,2040789.52931662,"NSW_NAN"
"l3","e0",3660311.59704061,0,51095.9407536031,0,345105.969938701,0,0,3264109.68634831,"NSW_NAN"
"l5","e0",4906062.18254854,0,49231.9961360943,0,334747.824771822,0,0,4522082.36164062,"NSW_NAN"
"l10","e0",5824343.50507558,0,46527.59614245,0,318323.132906938,0,0,5459492.77602619,"NSW_NAN"
"l15","e0",8095992.58374168,0,43513.6816101919,0,299185.07086796,0,0,7753293.83126353,"NSW_NAN"
"l0","e1",1132229.21750785,0,53152.2869925715,0,360157.719643624,0,718919.210871655,0,"NSW_NAN"
"l1","e1",2587532.05448231,0,52136.8549886126,0,348402.036568575,0,718919.210871655,1468073.95205347,"NSW_NAN"
"l2","e1",3151704.28441742,0,50725.346963415,0,341270.19726573,0,718919.210871655,2040789.52931662,"NSW_NAN"
